PGN,ECO,NAME,FEN
1. Nf3 f5 2. d3 Nf6 3. e4,A04,Zukertort Opening: Lisitsyn Gambit Deferred,rnbqkb1r/ppppp1pp/5n2/5p2/4P3/3P1N2/PPP2PPP/RNBQKB1R
1. Nf3 d6,A04,Zukertort Opening: Pirc Invitation,rnbqkbnr/ppp1pppp/3p4/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 b5,A04,Zukertort Opening: Polish Defense,rnbqkbnr/p1pppppp/8/1p6/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 e6,A04,Zukertort Opening: Queen's Gambit Invitation,rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 b6,A04,Zukertort Opening: Queenside Fianchetto Variation,rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 e5,A04,Zukertort Opening: Ross Gambit,rnbqkbnr/pppp1ppp/8/4p3/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 e6 2. c4 a6 3. Nc3 c5 4. g3 b5,A04,Zukertort Opening: Shabalov Gambit,rnbqkbnr/3p1ppp/p3p3/1pp5/2P5/2N2NP1/PP1PPP1P/R1BQKB1R
1. Nf3 c5,A04,Zukertort Opening: Sicilian Invitation,rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 c6,A04,Zukertort Opening: Slav Invitation,rnbqkbnr/pp1ppppp/2p5/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 c5 2. d4 cxd4 3. e3,A04,Zukertort Opening: Speelsmet Gambit,rnbqkbnr/pp1ppppp/8/8/3p4/4PN2/PPP2PPP/RNBQKB1R
1. Nf3 a6,A04,Zukertort Opening: St. George Defense,rnbqkbnr/1ppppppp/p7/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6 dxc6,A04,Zukertort Opening: The Walrus,r1bqkbnr/ppp2ppp/2p5/8/8/8/PPPPPPPP/RNBQKB1R
1. Nf3 d6 2. d4 e5,A04,Zukertort Opening: Vos Gambit,rnbqkbnr/ppp2ppp/3p4/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R
1. Nf3 d6 2. e4 Bg4,A04,Zukertort Opening: Wade Defense,rn1qkbnr/ppp1pppp/3p4/8/4P1b1/5N2/PPPP1PPP/RNBQKB1R
1. Nf3 a5,A04,Zukertort Opening: Ware Defense,rnbqkbnr/1ppppppp/8/p7/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 Nf6 2. g3 d5,A05,King's Indian Attack,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 Nf6 2. g3 g6 3. b4,A05,King's Indian Attack: Smyslov Variation,rnbqkb1r/pppppp1p/5np1/8/1P6/5NP1/P1PPPP1P/RNBQKB1R
1. Nf3 Nf6 2. g3 b5,A05,King's Indian Attack: Spassky Variation,rnbqkb1r/p1pppppp/5n2/1p6/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 Nf6 2. g3 g6,A05,King's Indian Attack: Symmetrical Defense,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R
1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5,A05,King's Indian Attack: Wahls Defense,rnbq1rk1/ppp1ppbp/5np1/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1
1. Nf3 Nf6 2. b4,A05,Polish Opening: Zukertort System,rnbqkb1r/pppppppp/5n2/8/1P6/5N2/P1PPPPPP/RNBQKB1R
1. Nf3 Nf6,A05,Zukertort Opening,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 Nf6 2. Nc3 Nc6,A05,Zukertort Opening,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R
1. Nf3 Nf6 2. g3 g6 3. b3 Bg7 4. Bb2 O-O 5. Bg2 d6 6. O-O,A05,Zukertort Opening: Double Fianchetto Attack,rnbq1rk1/ppp1ppbp/3p1np1/8/8/1P3NP1/PBPPPPBP/RN1Q1RK1
1. Nf3 Nf6 2. e4,A05,Zukertort Opening: Lemberger Gambit,rnbqkb1r/pppppppp/5n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1. Nf3 Nf6 2. a4 g6 3. b4,A05,Zukertort Opening: Myers Polish Attack,rnbqkb1r/pppppp1p/5np1/8/PP6/5N2/2PPPPPP/RNBQKB1R
1. Nf3 Nf6 2. b3,A05,Zukertort Opening: Nimzo-Larsen Variation,rnbqkb1r/pppppppp/5n2/8/8/1P3N2/P1PPPPPP/RNBQKB1R
1. Nf3 Nf6 2. e3,A05,Zukertort Opening: Quiet System,rnbqkb1r/pppppppp/5n2/8/8/4PN2/PPPP1PPP/RNBQKB1R
1. Nf3 d5 2. b3,A06,Nimzo-Larsen Attack: Classical Variation,rnbqkbnr/ppp1pppp/8/3p4/8/1P3N2/P1PPPPPP/RNBQKB1R
1. Nf3 d5 2. b3 c5 3. e4,A06,Nimzo-Larsen Attack: Norfolk Gambit,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P3N2/P1PP1PPP/RNBQKB1R
1. Nf3 d5 2. b3 Nf6 3. Bb2 c5 4. e4,A06,Nimzo-Larsen Attack: Norfolk Gambit,rnbqkb1r/pp2pppp/5n2/2pp4/4P3/1P3N2/PBPP1PPP/RN1QKB1R
1. Nf3 d5,A06,Zukertort Opening,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R
1. Nf3 d5 2. Rg1,A06,Zukertort Opening: Ampel Variation,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/1NBQKBRR
1. Nf3 d5 2. d3,A06,Zukertort Opening: Old Indian Attack,rnbqkbnr/ppp1pppp/8/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R
1. Nf3 d5 2. e3 c5 3. c4 dxc4 4. b3,A06,Zukertort Opening: Pachman Gambit,rnbqkbnr/pp2pppp/8/2p5/2p5/1P2PN2/P2P1PPP/RNBQKB1R
1. Nf3 d5 2. b3 c5 3. c4 dxc4 4. Nc3,A06,Zukertort Opening: Regina-Nu Gambit,rnbqkbnr/pp2pppp/8/2p5/2p5/1PN2N2/P2PPPPP/R1BQKB1R
1. Nf3 d5 2. Nc3,A06,Zukertort Opening: Reversed Mexican Defense,rnbqkbnr/ppp1pppp/8/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R
1. b4 d5 2. Nf3,A06,Zukertort Opening: Santasiere's Folly,rnbqkbnr/ppp1pppp/8/3p4/1P6/5N2/P1PPPPPP/RNBQKB1R
1. e4 d5 2. Nf3,A06,Zukertort Opening: Tennison Gambit,rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R
