PGN,ECO,NAME,FEN
1. e4 e5 2. Bc4 f5,C23,Bishop's Opening: Calabrese Countergambit,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/8/PPPP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 f5 3. d3,C23,Bishop's Opening: Calabrese Countergambit; Jaenisch Variation,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/3P4/PPP2PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4 exf4 5. Nf3 Be7 6. d4 Bh4+ 7. g3 fxg3 8. O-O gxh2+ 9. Kh1,C23,Bishop's Opening: Four Pawns Gambit,rnbqk1nr/pppp1ppp/8/8/2BPP2b/5N2/P1P4p/RNBQ1R1K
1. e4 e5 2. Bc4 d5,C23,Bishop's Opening: Khan Gambit,rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3 d5,C23,Bishop's Opening: Lewis Countergambit,rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/2P5/PP1P1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3 d5 4. Bxd5 Nf6,C23,Bishop's Opening: Lewis Countergambit,rnbqk2r/ppp2ppp/5n2/2bBp3/4P3/2P5/PP1P1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3 d5 4. Bxd5 Nf6 5. d4,C23,Bishop's Opening: Lewis Countergambit; Walker Variation,rnbqk2r/ppp2ppp/5n2/2bBp3/3PP3/2P5/PP3PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. d4,C23,Bishop's Opening: Lewis Gambit,rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR
1. e4 e5 2. Bc4 c6 3. d4 d5 4. exd5 cxd5 5. Bb5+ Bd7 6. Bxd7+ Nxd7 7. dxe5 Nxe5 8. Ne2,C23,Bishop's Opening: Lisitsyn Variation,r2qkbnr/pp3ppp/8/3pn3/8/8/PPP1NPPP/RNBQK2R
1. e4 e5 2. Bc4 Bc5 3. Qe2 Nc6 4. c3 Nf6 5. f4,C23,Bishop's Opening: Lopez Gambit,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1PP2/2P5/PP1PQ1PP/RNB1K1NR
1. e4 e5 2. Bc4 Bc5 3. Qe2,C23,Bishop's Opening: Lopez Variation,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPPQPPP/RNB1K1NR
1. e4 e5 2. Bc4 Bc5 3. Qe2 Nf6 4. f4,C23,Bishop's Opening: Lopez Variation; Lopez Gambit,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1PP2/8/PPPPQ1PP/RNB1K1NR
1. e4 e5 2. Bc4 Bc5 3. b4,C23,Bishop's Opening: McDonnell Gambit,rnbqk1nr/pppp1ppp/8/2b1p3/1PB1P3/8/P1PP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. c3,C23,Bishop's Opening: McDonnell Gambit; La Bourdonnais-Denker Gambit,rnbqk1nr/pppp1ppp/8/4p3/1bB1P3/2P5/P2P1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4,C23,Bishop's Opening: McDonnell Gambit; McDonnell Double Gambit,rnbqk1nr/pppp1ppp/8/4p3/1bB1PP2/8/P1PP2PP/RNBQK1NR
1. e4 e5 2. Bc4 c6,C23,Bishop's Opening: Philidor Counterattack,rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3,C23,Bishop's Opening: Philidor Variation,rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3 Nf6 4. d4 exd4 5. e5 d5 6. exf6 dxc4 7. Qh5 O-O,C23,Bishop's Opening: Pratt Variation,rnbq1rk1/ppp2ppp/5P2/2b4Q/2pp4/2P5/PP3PPP/RNB1K1NR
1. e4 e5 2. Bc4 Bc5 3. f4,C23,Bishop's Opening: Stein Gambit,rnbqk1nr/pppp1ppp/8/2b1p3/2B1PP2/8/PPPP2PP/RNBQK1NR
1. e4 e5 2. Bc4 b5 3. Bxb5 f5,C23,Bishop's Opening: Thorold Gambit,rnbqkbnr/p1pp2pp/8/1B2pp2/4P3/8/PPPP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Bc5 3. c3 Qg5,C23,Bishop's Opening: del Rio Variation,rnb1k1nr/pppp1ppp/8/2b1p1q1/2B1P3/2P5/PP1P1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Nf6,C24,Bishop's Opening: Berlin Defense,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR
1. e4 e5 2. Bc4 Nf6 3. f4,C24,Bishop's Opening: Berlin Defense; Greco Gambit,rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR
1. e4 e5 2. Bc4 Nf6 3. d3 Be7 4. Nf3 O-O,C24,Bishop's Opening: Kitchener Folly,rnbq1rk1/ppppbppp/5n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R
1. e4 e5 2. Bc4 Nf6 3. f3 Bc5 4. Ne2 Nc6 5. b4,C24,Bishop's Opening: Krejcik Gambit,r1bqk2r/pppp1ppp/2n2n2/2b1p3/1PB1P3/5P2/P1PPN1PP/RNBQK2R
1. e4 e5 2. Bc4 Nf6 3. Ne2 Nxe4 4. Nec3,C24,Bishop's Opening: Pachman Gambit,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/RNBQK2R
1. e4 e5 2. Bc4 Nf6 3. d4,C24,Bishop's Opening: Ponziani Gambit,rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR
1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3 d5 5. exd5 Bb4+ 6. c3 Qe7+,C24,Bishop's Opening: Urusov Gambit; Panov Variation,rnb1k2r/ppp1qppp/5n2/3P4/1bBp4/2P2N2/PP3PPP/RNBQK2R
1. e4 e5 2. Bc4 Nf6 3. d3 Nc6 4. Nc3,C24,Bishop's Opening: Vienna Hybrid,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR
1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. c3,C24,Bishop's Opening: Warsaw Gambit,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/2P5/PP3PPP/RNBQK1NR
1. e4 e5 2. Nc3 Nc6 3. f4,C25,Vienna Gambit; with Max Lange Defense,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 Be7,C25,Vienna Gambit; with Max Lange Defense: Cunningham Defense,r1bqk1nr/ppppbppp/2n5/8/4Pp2/2N2N2/PPPP2PP/R1BQKB1R
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. h4 g4 6. Ng5,C25,Vienna Gambit; with Max Lange Defense: Hamppe-Allgaier Gambit,r1bqkbnr/pppp1p1p/2n5/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. h4 g4 6. Ng5 d6,C25,Vienna Gambit; with Max Lange Defense: Hamppe-Allgaier Gambit; Alapin Variation,r1bqkbnr/ppp2p1p/2np4/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R
1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. Nc3 g5 5. h4 g4 6. Ng5 h6 7. Nxf7 Kxf7 8. d4,C25,Vienna Gambit; with Max Lange Defense: Hamppe-Allgaier Gambit; Thorold Variation,r1bq1bnr/pppp1k2/2n4p/8/3PPppP/2N5/PPP3P1/R1BQKB1R
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. Bc4 g4 6. O-O gxf3,C25,Vienna Gambit; with Max Lange Defense: Hamppe-Muzio Gambit,r1bqkbnr/pppp1p1p/2n5/8/2B1Pp2/2N2p2/PPPP2PP/R1BQ1RK1
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3,C25,Vienna Gambit; with Max Lange Defense: Knight Variation,r1bqkbnr/pppp1ppp/2n5/8/4Pp2/2N2N2/PPPP2PP/R1BQKB1R
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. d4,C25,Vienna Gambit; with Max Lange Defense: Pierce Gambit,r1bqkbnr/pppp1p1p/2n5/6p1/3PPp2/2N2N2/PPP3PP/R1BQKB1R
1. e4 e5 2. Nc3 Nc6 3. f4 Bc5 4. fxe5 d6,C25,Vienna Gambit; with Max Lange Defense: Quelle Gambit,r1bqk1nr/ppp2ppp/2np4/2b1P3/4P3/2N5/PPPP2PP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit,r1bqkbnr/pppp1ppp/2n5/8/3PPp2/2N5/PPP3PP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 b6,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit; Fraser-Minckwitz Defense,r1b1kbnr/p1pp1ppp/1pn5/8/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit; Main Line,r1b1kbnr/pppp1ppp/2n5/8/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 d6,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit; Paulsen Defense,r1b1kbnr/ppp2ppp/2np4/8/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 g5,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit; S?ensen Defense,r1b1kbnr/pppp1p1p/2n5/6p1/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 d5,C25,Vienna Gambit; with Max Lange Defense: Steinitz Gambit; Zukertort Defense,r1b1kbnr/ppp2ppp/2n5/3p4/3PPp1q/2N5/PPP1K1PP/R1BQ1BNR
1. e4 e5 2. Nc3,C25,Vienna Game,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 Bc5,C25,Vienna Game: Anderssen Defense,rnbqk1nr/pppp1ppp/8/2b1p3/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. d4,C25,Vienna Game: Fyfe Gambit,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 e5 2. Nc3 Bc5 3. Qg4,C25,Vienna Game: Giraffe Attack,rnbqk1nr/pppp1ppp/8/2b1p3/4P1Q1/2N5/PPPP1PPP/R1B1KBNR
1. e4 e5 2. Nc3 Bc5 3. Na4,C25,Vienna Game: Hamppe-Meitner Variation,rnbqk1nr/pppp1ppp/8/2b1p3/N3P3/8/PPPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. Bc4 g4 6. O-O,C25,Vienna Game: Hamppe-Muzio Gambit,r1bqkbnr/pppp1p1p/2n5/8/2B1Ppp1/2N2N2/PPPP2PP/R1BQ1RK1
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. Bc4 g4 6. O-O gxf3 7. Qxf3 Ne5 8. Qxf4 Qf6,C25,Vienna Game: Hamppe-Muzio; Dubois Variation,r1b1kbnr/pppp1p1p/5q2/4n3/2B1PQ2/2N5/PPPP2PP/R1B2RK1
1. e4 e5 2. Nc3 Nc6,C25,Vienna Game: Max Lange Defense,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 d6 3. f4,C25,Vienna Game: Omaha Gambit,rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. g3,C25,Vienna Game: Paulsen Variation,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. g3 Nf6 4. Bg2 Bc5 5. Nge2 d5,C25,Vienna Game: Paulsen Variation,r1bqk2r/ppp2ppp/2n2n2/2bpp3/4P3/2N3P1/PPPPNPBP/R1BQK2R
1. e4 e5 2. Nc3 Nc6 3. g3 Bc5 4. Bg2 h5 5. Nf3 h4,C25,Vienna Game: Paulsen Variation; Mariotti Gambit,r1bqk1nr/pppp1pp1/2n5/2b1p3/4P2p/2N2NP1/PPPP1PBP/R1BQK2R
1. e4 e5 2. Nc3 Nc6 3. d4 f5,C25,Vienna Game: Philidor Countergambit,r1bqkbnr/pppp2pp/2n5/4pp2/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. d4 g4 6. Bc4 gxf3 7. O-O d5 8. exd5 Bg4 9. dxc6,C25,Vienna Game: Pierce Gambit; Rushmere Attack,r2qkbnr/ppp2p1p/2P5/8/2BP1pb1/2N2p2/PPP3PP/R1BQ1RK1
1. e4 e5 2. Nc3 Nc6 3. Bc4 Bc5 4. Qg4 Qf6 5. Nd5,C25,Vienna Game: Stanley Variation; Meitner-Mieses Gambit,r1b1k1nr/pppp1ppp/2n2q2/2bNp3/2B1P1Q1/8/PPPP1PPP/R1B1K1NR
1. e4 e5 2. Nc3 Bb4 3. Qg4 Nf6,C25,Vienna Game: Zhuravlev Countergambit,rnbqk2r/pppp1ppp/5n2/4p3/1b2P1Q1/2N5/PPPP1PPP/R1B1KBNR
1. e4 e5 2. Bc4 Nf6 3. Nc3 b5,C26,Bishop's Opening: Horwitz Gambit,rnbqkb1r/p1pp1ppp/5n2/1p2p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR
1. e4 e5 2. Nc3 Nf6 3. Bc4 Bc5 4. d3,C26,Bishop's Opening: Vienna Hybrid; Spielmann Attack,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR
1. e4 e5 2. Nc3 Nf6,C26,Vienna Game: Falkbeer Variation,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. a3,C26,Vienna Game: Mengarini Variation,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/P1N5/1PPP1PPP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. g3,C26,Vienna Game: Mieses Variation,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N3P1/PPPP1P1P/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. g3 d5 4. exd5 c6,C26,Vienna Game: Mieses Variation; Erben Gambit,rnbqkb1r/pp3ppp/2p2n2/3Pp3/8/2N3P1/PPPP1P1P/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 Nc6 5. Nge2 d5 6. exd5,C26,Vienna Game: Paulsen Variation; Pollock Gambit,r1bqk2r/ppp2ppp/2n2n2/2bPp3/8/2N3P1/PPPPNPBP/R1BQK2R
1. e4 e5 2. Nc3 Nf6 3. Bc4,C26,Vienna Game: Stanley Variation,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR
1. e4 e5 2. Nc3 Nf6 3. Bc4 Bc5 4. Nge2 b5,C26,Vienna Game: Stanley Variation; Eifel Gambit,rnbqk2r/p1pp1ppp/5n2/1pb1p3/2B1P3/2N5/PPPPNPPP/R1BQK2R
1. e4 e5 2. Nc3 Nf6 3. Bc4 Bb4,C26,Vienna Game: Stanley Variation; Reversed Spanish,rnbqk2r/pppp1ppp/5n2/4p3/1bB1P3/2N5/PPPP1PPP/R1BQK1NR
1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 4. Nc3,C27,Bishop's Opening: Boden-Kieseritzky Gambit,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R
1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 4. Nc3 d5,C27,Bishop's Opening: Boden-Kieseritzky Gambit; Lichtenhein Defense,rnbqkb1r/ppp2ppp/8/3pp3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R
1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Qh5 Nd6 5. Bb3 Nc6 6. d4,C27,Vienna Game: Adams' Gambit,r1bqkb1r/pppp1ppp/2nn4/4p2Q/3P4/1BN5/PPP2PPP/R1B1K1NR
1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4,C27,Vienna Game: Frankenstein-Dracula Variation,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/R1BQK1NR
1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Qh5 Nd6 5. Bb3 Be7 6. Nf3 Nc6 7. Nxe5,C27,Vienna Game: Stanley Variation; Alekhine Variation,r1bqk2r/ppppbppp/2nn4/4N2Q/8/1BN5/PPPP1PPP/R1B1K2R
1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Qh5 Nd6 5. Bb3 Nc6 6. Nb5 g6 7. Qf3 f5 8. Qd5 Qe7 9. Nxc7+ Kd8 10. Nxa8 b6,C27,Vienna Game: Stanley Variation; Frankenstein-Dracula Variation,N1bk1b1r/p2pq2p/1pnn2p1/3Qpp2/8/1B6/PPPP1PPP/R1B1K1NR
1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4 4. Qh5 Nd6 5. Bb3 Be7,C27,Vienna Game: Stanley Variation; Monster Declined,rnbqk2r/ppppbppp/3n4/4p2Q/8/1BN5/PPPP1PPP/R1B1K1NR
1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6 4. d3 Bb4 5. Ne2,C28,Bishop's Opening: Vienna Hybrid; Hrom?ka Variation,r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/3P4/PPP1NPPP/R1BQK1NR
1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6 4. f4 Nxe4 5. Nf3,C28,Vienna Game: Stanley Variation; Bronstein Gambit,r1bqkb1r/pppp1ppp/2n5/4p3/2B1nP2/2N2N2/PPPP2PP/R1BQK2R
1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6,C28,Vienna Game: Stanley Variation; Three Knights Variation,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Qf3 f5 6. d4,C29,Vienna Game: Heyde Variation,rnbqkb1r/ppp3pp/8/3pPp2/3Pn3/2N2Q2/PPP3PP/R1B1KBNR
1. e4 e5 2. Nc3 Nf6 3. f4,C29,Vienna Game: Vienna Gambit,rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Qf3 f5,C29,Vienna Game: Vienna Gambit; Bardeleben Variation,rnbqkb1r/ppp3pp/8/3pPp2/4n3/2N2Q2/PPPP2PP/R1B1KBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Nf3 Be7,C29,Vienna Game: Vienna Gambit; Breyer Variation,rnbqk2r/ppp1bppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Nf3 Bg4 6. Qe2,C29,Vienna Game: Vienna Gambit; Kaufmann Variation,rn1qkb1r/ppp2ppp/8/3pP3/4n1b1/2N2N2/PPPPQ1PP/R1B1KB1R
1. e4 e5 2. Nc3 Nf6 3. f4 d5,C29,Vienna Game: Vienna Gambit; Main Line,rnbqkb1r/ppp2ppp/5n2/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. d3,C29,Vienna Game: Vienna Gambit; Modern Variation,rnbqkb1r/ppp2ppp/8/3pP3/4n3/2NP4/PPP3PP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Qf3,C29,Vienna Game: Vienna Gambit; Paulsen Attack,rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. d3,C29,Vienna Game: Vienna Gambit; Steinitz Variation,rnbqkb1r/ppp2ppp/5n2/3pp3/4PP2/2NP4/PPP3PP/R1BQKBNR
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. d3 Qh4+ 6. g3 Nxg3 7. Nf3 Qh5 8. Nxd5,C29,Vienna Game: Vienna Gambit; Wurzburger Trap,rnb1kb1r/ppp2ppp/8/3NP2q/8/3P1Nn1/PPP4P/R1BQKB1R
1. e4 e5 2. f4,C30,King's Gambit,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Bc5,C30,King's Gambit Declined: Classical Variation,rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3,C30,King's Gambit Declined: Classical Variation,rnbqk1nr/ppp2ppp/3p4/2b1p3/4PP2/2P2N2/PP1P2PP/RNBQKB1R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 Bg4 5. fxe5 dxe5 6. Qa4+,C30,King's Gambit Declined: Classical Variation; Euwe Attack,rn1qk1nr/ppp2ppp/8/2b1p3/Q3P1b1/2P2N2/PP1P2PP/RNB1KB1R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. b4,C30,King's Gambit Declined: Classical Variation; Rotlewi Countergambit,rnbqk1nr/ppp2ppp/3p4/2b1p3/1P2PP2/5N2/P1PP2PP/RNBQKB1R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 f5,C30,King's Gambit Declined: Classical Variation; Rubinstein Countergambit,rnbqk1nr/ppp3pp/3p4/2b1pp2/4PP2/2P2N2/PP1P2PP/RNBQKB1R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. Nc3 Nd7,C30,King's Gambit Declined: Classical; Hanham Variation,r1bqk1nr/pppn1ppp/3p4/2b1p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. c3 f5 5. fxe5 dxe5 6. d4 exd4 7. Bc4,C30,King's Gambit Declined: Classical; R?i Variation,rnbqk1nr/ppp3pp/8/2b2p2/2BpP3/2P2N2/PP4PP/RNBQK2R
1. e4 e5 2. f4 Bc5 3. Nf3 d6 4. fxe5,C30,King's Gambit Declined: Classical; Soldatenkov Variation,rnbqk1nr/ppp2ppp/3p4/2b1P3/4P3/5N2/PPPP2PP/RNBQKB1R
1. e4 e5 2. Bc4 Nc6 3. Nc3 Nf6 4. d3 Bc5 5. f4 d6 6. Nf3 Bg4 7. h3 Bxf3 8. Qxf3 exf4,C30,King's Gambit Declined: Classical; Svenonius Variation,r2qk2r/ppp2ppp/2np1n2/2b5/2B1Pp2/2NP1Q1P/PPP3P1/R1B1K2R
1. e4 e5 2. f4 Nc6 3. Nf3 g5 4. fxg5 h6,C30,King's Gambit Declined: Hobbs-Zilbermints Gambit,r1bqkbnr/pppp1p2/2n4p/4p1P1/4P3/5N2/PPPP2PP/RNBQKB1R
1. e4 e5 2. f4 Qh4+ 3. g3 Qe7,C30,King's Gambit Declined: Keene Defense,rnb1kbnr/ppppqppp/8/4p3/4PP2/6P1/PPPP3P/RNBQKBNR
1. e4 e5 2. f4 Qh4+,C30,King's Gambit Declined: Keene's Defense,rnb1kbnr/pppp1ppp/8/4p3/4PP1q/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Qh4+ 3. g3,C30,King's Gambit Declined: Keene's Defense,rnb1kbnr/pppp1ppp/8/4p3/4PP1q/6P1/PPPP3P/RNBQKBNR
1. e4 c5 2. f4 e5,C30,King's Gambit Declined: Mafia Defense,rnbqkbnr/pp1p1ppp/8/2p1p3/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Nc6 3. Nf3 f5,C30,King's Gambit Declined: Miles Defense,r1bqkbnr/pppp2pp/2n5/4pp2/4PP2/5N2/PPPP2PP/RNBQKB1R
1. e4 e5 2. f4 Qf6,C30,King's Gambit Declined: Norwalde Variation,rnb1kbnr/pppp1ppp/5q2/4p3/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Qf6 3. Nc3 Qxf4 4. Nf3 Bb4 5. Bc4,C30,King's Gambit Declined: Norwalde Variation; B?ker Gambit,rnb1k1nr/pppp1ppp/8/4p3/1bB1Pq2/2N2N2/PPPP2PP/R1BQK2R
1. e4 e5 2. f4 Qf6 3. Nc3 Qxf4 4. d4,C30,King's Gambit Declined: Norwalde Variation; Schubert Variation,rnb1kbnr/pppp1ppp/8/4p3/3PPq2/2N5/PPP3PP/R1BQKBNR
1. e4 e5 2. f4 f5,C30,King's Gambit Declined: Panteldakis Countergambit,rnbqkbnr/pppp2pp/8/4pp2/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 f5 3. exf5 Qh4+,C30,King's Gambit Declined: Panteldakis Countergambit; Greco Variation,rnb1kbnr/pppp2pp/8/4pP2/5P1q/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 f5 3. exf5 exf4 4. Qh5+ g6 5. fxg6 Qe7+ 6. Kd1,C30,King's Gambit Declined: Panteldakis Countergambit; Pawn Sacrifice Line,rnb1kbnr/ppppq2p/6P1/7Q/5p2/8/PPPP2PP/RNBK1BNR
1. e4 e5 2. f4 f5 3. exf5 Bc5,C30,King's Gambit Declined: Panteldakis Countergambit; Schiller's Defense,rnbqk1nr/pppp2pp/8/2b1pP2/5P2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 f5 3. exf5 exf4 4. Qh5+ Ke7,C30,King's Gambit Declined: Panteldakis Countergambit; Shirazi Line,rnbq1bnr/ppppk1pp/8/5P1Q/5p2/8/PPPP2PP/RNB1KBNR
1. e4 e5 2. f4 f5 3. exf5 exf4 4. Nf3 d5 5. d4 Bd6 6. Bd3,C30,King's Gambit Declined: Panteldakis Countergambit; Symmetrical Variation,rnbqk1nr/ppp3pp/3b4/3p1P2/3P1p2/3B1N2/PPP3PP/RNBQK2R
1. e4 e5 2. f4 Nf6,C30,King's Gambit Declined: Petrov's Defense,rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 e5 2. f4 Nc6,C30,King's Gambit Declined: Queen's Knight Defense,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/8/PPPP2PP/RNBQKBNR
