PGN,VOLUME,ECO,NAME,CONTINUATION,CONTINUATIONNAME,,
1.e4 e5 2.f4 exf4 3.Bc4 d5,C,C33,"Bledow; Morphy Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 d5 4.Bxd5 Nf6,C,C33,"Bledow Countergambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 f5,C,C33,"Gianutio Counter-Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 g5,C,C33,"Anderssen Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Nc6,C,C33,"Maurian Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Nf6,C,C33,Cozio; Hanneken; Prussian; Lichtenhein,FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3,C,C33,"Bogoljubow Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Nf6 4.Nc3 c6,C,C33,"Bogoljubov; Jaenisch Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 b5,C,C33,"Bryan; Kieseritzky Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 Bc5,C,C33,"Greco Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 d6,C,C33,"Cozio Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5,C,C33,"Classical Defense, KGA; Lopez Variation",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 d6 7.e5,C,C33,"Grimm Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.d4 Ne7 7.g3,C,C33,"MacDonnell Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.g3,C,C33,"McDonnell Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Nc3 Bg7 6.g3 fxg3 7.Qf3,C,C33,"Fraser Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 g5 5.Qf3,C,C33,"Cozio Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 Nc6,C,C33,"Boden Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 Nf6,C,C33,"Jaenisch Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Bc4 Qh4+ 4.Kf1 Qf6,C,C33,"Jaenisch Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Be2,C,C33,Lesser Bishop; Tartakower,FALSE,-,,
1.e4 e5 2.f4 exf4 3.Be2 f5 4.exf5 d6,C,C33,"Weiss Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.d4,C,C33,"Central; Polerio; Willemson, Steinitz",FALSE,-,,
1.e4 e5 2.f4 exf4 3.g3,C,C33,"Gaga Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.g3 fxg3 4.Nf3,C,C33,"Gama Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.h4,C,C33,"Leonardo (Stamma) Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Kf2,C,C33,"Drunken King, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Kf2,C,C33,"Tumbleweed; King's Own, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nc3,C,C33,"Keres, Mason, Parnu, Requena",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nc3 Qh4+,C,C33,"Requena Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Ne2,C,C33,"Paris Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nh3,C,C33,"Eisenberg Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Qe2,C,C33,"Basman Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Qe2,C,C33,"Bilguer-Mirage Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Qf3,C,C33,"Breyer; Hungarian; Carrera, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Qg4,C,C33,"Dodo Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Qh5,C,C33,"Carrera Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3,C,C34,"King's Knight Gambit, KGA; C34",TRUE,"King's Knight Gambit, KGA",,
1.e4 e5 2.f4 exf4 3.Nf3 d6,C,C34,"Fischer Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 d6 4.b4,C,C34,"Schulder Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 f5,C,C34,"Gianutio Countergambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 h6,C,C34,"Becker; Anti-Kieseritzky Var, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Nc6,C,C34,"MacLeod Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Ne7,C,C34,"Bonsch-Osmolovsky Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Nf6,C,C34,"Schallop Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Nf6 4.e5 Nh5 5.g4,C,C34,"Tashkent Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Be7,C,C35,"Cunningham Gambit, KGA; C35",TRUE,"Cunningham Gambit, KGA",,
1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Bh4+,C,C35,"Wild Cunningham Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Bh4+ 5.g3,C,C35,"Bertin; Three Pawns Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 Be7 4.Bc4 Nf6,C,C35,"Neo-Cunningham Gambit, KGA; McCormick Defense",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 d5,C,C36,"Scandinavian Variation, KGA; Modern Defense, KGA; C36",TRUE,"Scandinavian Variation, KGA; Modern Defense, KGA",,
1.e4 e5 2.f4 exf4 3.Nf3 d5 4.exd5 Nf6,C,C36,"Abbazia Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5,C,C37,C37,TRUE,C37,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4,C,C37,"Ghulam Kassim; Koch Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 d6 5.O-O Bg4 6.h3 h5 7.hxg4,C,C37,"Middleton Counter-Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Bxf7+,C,C37,"Greco-Lolli; Wild Muzio Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Bxf7+ Kxf7 6.O-O gxf3 7.Qxf3 Qf6 8.d4 Qxd4+ 9.Be3,C,C37,"Young Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.d4,C,C37,"Koch; Ghulam Kassim Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.d4 gxf3 6.Bxf4,C,C37,Kotov Gambit,FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.d4 gxf3 6.Qxf3,C,C37,"Ghulam-Kassim Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.h4,C,C37,"Australian Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Nc3,C,C37,"MacDonnell Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5,C,C37,"Salvio Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 f3,C,C37,"Cochrane Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 Nc6,C,C37,"Herzfeld; Portuguese; Vienna, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 Nf6,C,C37,"Santa Maria Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 Nh6,C,C37,"Silberschmidt Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.Ne5 Qh4+ 6.Kf1 Nh6 7.d4 d6,C,C37,"Anderssen Counter-Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O,C,C37,"Muzio-Polerio Gambit, KGA; Wild Muzio",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O d5,C,C37,"Brentano Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Nc6,C,C37,"Holloway Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qe7,C,C37,"From Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6,C,C37,"Sarratt Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6 7.Bxf7+ Kxf7 8.d4 Qxd4+ 9.Be3 Qf6,C,C37,"Young Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6 7.e5 Qxe5 8.Bxf7+,C,C37,"Double Muzio Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6 7.e5 Qxe5 8.d3 Bh6 9.Nc3 Ne7 10.Bd2,C,C37,"Paulsen Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6 7.Nc3,C,C37,"Bello Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O gxf3 6.Qxf3 Qf6 7.Nc3 Qd4+ 8.Kh1 Qxc4 9.Nd5,C,C37,"Baldwin Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 g4 5.O-O Qe7,C,C37,"Kling & Horwitz Counter-Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Nc6,C,C37,"Blachy Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.d4,C,C37,"Rosentreter Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.d4 Bg4 5.Nc3,C,C37,"Soerensen Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.d4 Bg4 5.Ne5,C,C37,"Sorensen Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.d4 Bg4 5.Ne5 Qh4+ 6.g3,C,C37,"Bird Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.d4 g4 5.Bxf4,C,C37,"Rosentreter-Testa Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Nc3,C,C37,"Quaade; Taylor Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7,C,C38,"Traditional Variation, KGA; C38",TRUE,"Traditional Variation, KGA",,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.d4 d6 6.c3,C,C38,"Mayet Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.h4,C,C38,"Philidor Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.h4 h6 6.d4 d6,C,C38,"Greco Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.h4 h6 6.d4 d6 7.hxg5 hxg5 8.Rxh8 Rxh8 9.Nc3,C,C38,"Greco; Calabrian Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.h4 h6 6.d4 d6 7.Qd3,C,C38,"Schultz Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.Bc4 Bg7 5.O-O,C,C38,"Hanstein Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4,C,C39,C39,TRUE,C39,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5,C,C39,"Kieseritzky Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Bg7,C,C39,"Paulsen Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 d5,C,C39,"Campbell; Brentano; Morphy Var, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 d6,C,C39,"Green; Kolisch Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 h5,C,C39,"Long Whip Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 h6 6.Nxf7,C,C39,"Cotter Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nc6,C,C39,"Neumann Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6,C,C39,"Berlin Defense, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bd6,C,C39,"Anderssen Defense, Kieseritsky Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bd6 8.d4 Nh5 9.Bxf4 Nxf4,C,C39,"Anderssen-Cordel Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bd6 8.O-O,C,C39,"Rice Gambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bd6 8.O-O Bxe5,C,C39,"Rice Gambit Accepted, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Bc4 d5 7.exd5 Bg7,C,C39,"Paulsen Defense Deferred, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.d4,C,C39,"Rubinstein Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Nf6 6.Nxg4 d5,C,C39,"Riviere Variation, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ne5 Qe7,C,C39,"Rosenthal; Stockwhip Var, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5,C,C39,"Allgaier; Cotter Cambit, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5 h6 6.Nxf7 Kxf7 7.Bc4+,C,C39,"Walker (Urusov) Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5 h6 6.Nxf7 Kxf7 7.Bc4+ d5 8.Bxd5+ Ke8 9.d4,C,C39,"Urusov Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5 h6 6.Nxf7 Kxf7 7.d4,C,C39,"Thorold Attack, KGA",FALSE,-,,
1.e4 e5 2.f4 exf4 3.Nf3 g5 4.h4 g4 5.Ng5 h6 6.Nxf7 Kxf7 7.Qxg4 Nf6 8.Qxf4,C,C39,"Horny Defense, KGA",FALSE,-,,
1.e4 e5 2.Nf3,C,C40,King's Knight Opening; C40,TRUE,King's Knight Opening,,
1.e4 e5 2.Nf3 Bc5,C,C40,Glatz Gambit; Busch-Gass Gambit,FALSE,-,,
1.e4 e5 2.Nf3 Bc5 3.Nxe5 Nc6,C,C40,Chiodini Gambit,FALSE,-,,
1.e4 e5 2.Nf3 c5,C,C40,Jalalabad Defense,FALSE,-,,
1.e4 e5 2.Nf3 c6,C,C40,Gunderam Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5,C,C40,Queen's Pawn Counter-Gambit; Elephant Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5 3.exd5 Bd6,C,C40,Maroczy; Elephant Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5 3.exd5 Bd6,C,C40,Halasz-Jacobsen Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5 3.exd5 Bd6,C,C40,Maroczy Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5 3.exd5 e4,C,C40,Paulsen Counter-Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d5 3.Nxe5 dxe4 4.Bc4 Qg5,C,C40,Wasp Variation,FALSE,-,,
1.e4 e5 2.Nf3 f5,C,C40,Latvian; Greco Counter-Gambit,FALSE,-,,
1.e4 e5 2.Nf3 f5 3.b4,C,C40,"Senechaud Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Bc4,C,C40,"Mayet Attack, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Bc4 b5,C,C40,"Strautins Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Bc4 fxe4 4.Nxe5 d5,C,C40,"Polerio-Svedenborg Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Bc4 fxe4 4.Nxe5 Qg5 5.d4 Qxg2,C,C40,"Poisoned Pawn Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Bc4 Nf6,C,C40,"Morgado Defense, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.c4,C,C40,"Diepstraten Countergambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.d3 Nc6 4.exf5,C,C40,"Clam Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.d4,C,C40,"Mason Countergambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.exf5,C,C40,Latvian Gambit Accepted,FALSE,-,,
1.e4 e5 2.Nf3 f5 3.g4,C,C40,"Lobster Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nc3,C,C40,"Mlotkowski Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Nc6,C,C40,"Fraser Defense, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Nf6 4.Bc4 fxe4 5.Nf7 Qe7 8.Nxh8 d5,C,C40,"Corkscrew Counter-Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qe7,C,C40,"Greco Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4,C,C40,"Mail Line, Latvian Gambit Accepted",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4 d6 5.Nc4,C,C40,"Bilguer Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4 d6 5.Nc4 fxe4 6.Be2,C,C40,"Bronstein Attack, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4 d6 5.Nc4 fxe4 6.Ne3,C,C40,"Nimzovich Attack, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.d4 d6 5.Nc4 fxe4 6.Qh5+ g6 7.Qe2,C,C40,"Bronstein Gambit, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.Nc4,C,C40,"Foltys-Leonhardt Variation, Latvian Gambit",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.Nc4 fxe4 5.d3,C,C40,"Foltys Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f5 3.Nxe5 Qf6 4.Nc4 fxe4 5.Nc3,C,C40,"Leonhardt Variation, Latvian",FALSE,-,,
1.e4 e5 2.Nf3 f6,C,C40,Damiano Defense,FALSE,-,,
1.e4 e5 2.Nf3 f6 3.Nxe5 fxe5 4.Qh5+ g6 5.Qxe5+ Qe7 6.Qxh8,C,C40,Damiano Gambit,FALSE,-,,
1.e4 e5 2.Nf3 f6 3.Nxe5 Qe7 4.Nf3 d5,C,C40,"Chigorin Gambit, Damiano",FALSE,-,,
1.e4 e5 2.Nf3 Qe7,C,C40,Levenstein; Queen's Defense; Brazilian; Gunderam,FALSE,-,,
1.e4 e5 2.Nf3 Qe7 3.Bc4 f5,C,C40,Gunderam Gambit,FALSE,-,,
1.e4 e5 2.Nf3 Qf6,C,C40,McConnell Defense,FALSE,-,,
1.e4 e5 2.Nf3 Qf6,C,C40,Greco Defense,FALSE,-,,
1.e4 e5 2.Nf3 Qf6 3.Bc4 Qg6 4.O-O,C,C40,Labourdonnais Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d6,C,C41,Philidor Defense; C41,TRUE,Philidor Defense,,
1.e4 e5 2.Nf3 d6 3.Bc4 f5,C,C41,"Lopez Counter-Gambit, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Bd7,C,C41,Philidor Gambit,FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Bg4 4.dxe5 Nd7,C,C41,"Alapin-Blackburne Gambit, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4,C,C41,"Exchange Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Bc4,C,C41,"Morphy Gambit, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.c3,C,C41,"Bird Gambit, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 d5 5.exd5,C,C41,"Paulsen Attack, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Nxd4 g6,C,C41,"Larsen Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Qxd4 Bd7,C,C41,"Boden Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 f5,C,C41,Philidor Counter Attack,FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 f5 4.Nc3,C,C41,"Zukertort Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7,C,C41,"Hanham; Lord Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.c3,C,C41,"Delmar Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.Nc3,C,C41,"Schlechter Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O,C,C41,"Krause Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O Be7 6.dxe5,C,C41,"Steiner Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 Nb6,C,C41,"Sharp Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Nf6,C,C41,"Lion Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6,C,C41,"Jaenisch Counter-Attack, Philidor; Nimzovich Variation",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Bc4,C,C41,"Klein Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5 Nxe4 5.Nbd2,C,C41,"Sokolsky Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5 Nxe4 5.Qd5,C,C41,"Rellstab Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7,C,C41,"Larobok Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Ng5 h6 5.Nxf7,C,C41,"Locock Variation, Philidor",FALSE,-,,
1.e4 e5 2.Nf3 Nf6,C,C42,Petroff Defense; Russian Defense; C42,TRUE,Petroff Defense; Russian Defense,,
1.e4 e5 2.Nf3 Nf6 3.Bc4,C,C42,"Urosov Gambit, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Bc4 Nxe4 4.Nc3,C,C42,"Boden-Kieseritzky Gambit, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Bc4 Nxe4 4.Nc3 d5,C,C42,"Lichtenhein Defense, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nc3,C,C42,"Russian Three Knights Var, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nc4,C,C42,"Paulsen Attack, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nd3,C,C42,"Karklins-Martinovsky Variation, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.Bd3,C,C42,"Millenium Attack, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.c4,C,C42,"Kaufmann Variation, Petroff",FALSE,-,,
1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d3,C,C42,"French Attack, Petroff",FALSE,-,,
