PGN,VOLUME,ECO,NAME,CONTINUATION,CONTINUATIONNAME,,
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3,A,A28,"Quiet Line, English",FALSE,-,,
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3 Bb4 5.Qc2 Bxc3,A,A28,"Romanishin Variation, English",FALSE,-,,
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3 Bb4 5.Qc2 O-O 6.Nd5 Re8 7.Qf5,A,A28,"Keene; Stean Variation, English",FALSE,-,,
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e4,A,A28,"Botvinnik Line, English",FALSE,-,,
1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3,A,A29,"Fianchetto Line, Four Knights English; A29",TRUE,"Fianchetto Line, Four Knights English",,
1.c4 c5,A,A30,"Symmetrical Defense, English; A30",TRUE,"Symmetrical Defense, English",,
1.c4 c5 2.b4,A,A30,"Wing Variation, English",FALSE,-,,
1.c4 c5 2.Nf3 Nf6 3.b4,A,A30,"Napolitano Gambit, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O e6 6.Nc3 Be7,A,A30,"Hedgehog Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nf3 Nf6 3.g3 b6 4.Bg2 Bb7 5.O-O g6,A,A30,"Double Fianchetto Defense, English",FALSE,-,,
1.c4 c5 2.Nf3 Nf6 3.d4,A,A31,"Anti-Benoni Variation, Symmetrical English; A31",TRUE,"Anti-Benoni Variation, Symmetrical English",,
1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4,A,A31,"Two Knights Variation, English",FALSE,-,,
1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6,A,A32,"Spielmann Defense, Symmetrical English; A32",TRUE,"Spielmann Defense, Symmetrical English",,
1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6,A,A33,A33,TRUE,A33,,
1.c4 c5 2.Nf3 Nf6 3.d4 cxd4 4.Nxd4 e6 5.Nc3 Nc6 6.g3 Qb6,A,A33,"Geller Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3,A,A34,"Normal Variation, Symmetrical English; A34",TRUE,"Normal Variation, Symmetrical English",,
1.c4 c5 2.Nc3 Nf6 3.g3,A,A34,"Fianchetto Variation, Symmetrical English  ",FALSE,-,,
1.c4 c5 2.Nc3 Nf6 3.g3 d5 4.cxd5 Nxd5 5.Bg2 Nc7,A,A34,"Rubinstein Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nf6 3.Nf3 d5 4.cxd5 Nxd5,A,A34,"Asymmetrical Variation, English",FALSE,-,,
1.c4 c5 2.Nc3 Nf6 3.Nf3 e6 4.g3 Nc6,A,A34,"Keres-Parma System, English",FALSE,-,,
1.c4 c5 2.Nc3 Nf6 3.Nf3 Nf6,A,A34,"Four Knights Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6,A,A35,"Two Knights Variation, Symmetrical English; A35",TRUE,"Two Knights Variation, Symmetrical English",,
1.c4 c5 2.Nc3 Nc6 3.g3,A,A36,"Fianchetto Variation, Symmetrical English; A36",TRUE,"Fianchetto Variation, Symmetrical English",,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7,A,A36,"Symmetrical Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e3 e5,A,A36,"Botvinnik System Reversed, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.e4,A,A36,"Botvinnik Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3,A,A37,"Two Knights Line, Symmetrical English; A37",TRUE,"Two Knights Line, Symmetrical English",,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6,A,A38,"Full Symmetry Line, Symmetrical English; A38",TRUE,"Full Symmetry Line, Symmetrical English",,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.b3,A,A38,"Double Fianchetto, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d3,A,A38,"Duchamp Variation, Symmetrical English",FALSE,-,,
1.c4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Nf3 Nf6 6.O-O O-O 7.d4,A,A39,"Mecking Variation, Symmetrical English; A39",TRUE,"Mecking Variation, Symmetrical English",,
1.c4 b6 2.d4 Bb7 3.Nc3 e6 4.e4 f5 5.exf5 Nf6,A,A40,"Hartlaub Gambit, English",FALSE,-,,
1.d4,A,A40,Queen Pawn Opening; A40,TRUE,Queen Pawn Opening,,
1.d4 a6 2.c4 b5 3.e4 e6 4.cxb5 axb5,A,A40,St George's Gambit,FALSE,-,,
1.d4 b5,A,A40,Polish Defense,FALSE,-,,
1.d4 b5 2.e4 Bb7 3.Bxb5,A,A40,"Spassky Gambit, Polish Defense",FALSE,-,,
1.d4 b6,A,A40,"Queen Fianchetto, Queen Pawn Game",FALSE,-,,
